name,height,weight,hair_color,skin_color,eye_color,age,sex,homeland,species,films,vehicles,starships
Yoda,66.0,17.0,white,green,brown,896.0,male,,Yoda's species,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi",,
Jabba Desilijic Tiure,175.0,1358.0,,"green-tan, brown",orange,600.0,hermaphroditic,Nal Hutta,Hutt,"The Phantom Menace, Return of the Jedi, A New Hope",,
Chewbacca,228.0,112.0,brown,unknown,blue,200.0,male,Kashyyyk,Wookiee,"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope, The Force Awakens",AT-ST,"Millennium Falcon, Imperial shuttle"
C-3PO,167.0,75.0,,gold,yellow,112.0,none,Tatooine,Droid,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi, A New Hope",,
Dooku,193.0,80.0,white,fair,brown,102.0,male,Serenno,Human,"Attack of the Clones, Revenge of the Sith",Flitknot speeder,
Qui-Gon Jinn,193.0,89.0,brown,fair,blue,92.0,male,,Human,The Phantom Menace,Tribubble bongo,
Ki-Adi-Mundi,198.0,82.0,white,pale,yellow,92.0,male,Cerea,Cerean,"Attack of the Clones, The Phantom Menace, Revenge of the Sith",,
Finis Valorum,170.0,,blond,fair,blue,91.0,male,Coruscant,Human,The Phantom Menace,,
Palpatine,170.0,75.0,grey,pale,yellow,82.0,male,Naboo,Human,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi",,
Cliegg Lars,183.0,,brown,fair,blue,82.0,male,Tatooine,Human,Attack of the Clones,,
Shmi Skywalker,163.0,,black,fair,brown,72.0,female,Tatooine,Human,"Attack of the Clones, The Phantom Menace",,
Mace Windu,188.0,84.0,none,dark,brown,72.0,male,Haruun Kal,Human,"Attack of the Clones, The Phantom Menace, Revenge of the Sith",,
Bail Prestor Organa,191.0,,black,tan,brown,67.0,male,Alderaan,Human,"Attack of the Clones, Revenge of the Sith",,
Jango Fett,183.0,79.0,black,tan,brown,66.0,male,Concord Dawn,Human,Attack of the Clones,,
Wilhuff Tarkin,180.0,,"auburn, grey",fair,blue,64.0,male,Eriadu,Human,"Revenge of the Sith, A New Hope",,
Quarsh Panaka,183.0,,black,dark,brown,62.0,,Naboo,,The Phantom Menace,,
Luminara Unduli,170.0,56.2,black,yellow,blue,58.0,female,Mirial,Mirialan,"Attack of the Clones, Revenge of the Sith",,
Obi-Wan Kenobi,182.0,77.0,"auburn, white",fair,blue-gray,57.0,male,Stewjon,Human,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi, A New Hope",Tribubble bongo,"Jedi starfighter, Trade Federation cruiser, Naboo star skiff, Jedi Interceptor, Belbullab-22 starfighter"
Darth Maul,175.0,80.0,none,red,yellow,54.0,male,Dathomir,Zabrak,The Phantom Menace,Sith speeder,Scimitar
Bossk,190.0,113.0,none,green,red,53.0,male,Trandosha,Trandoshan,The Empire Strikes Back,,
Owen Lars,178.0,120.0,"brown, grey",light,blue,52.0,male,Tatooine,Human,"Attack of the Clones, Revenge of the Sith, A New Hope",,
